1153	4957	Октагон	Октагон	Фред Саберхаген	Фред Саберхаген
1154	1219	Бараяр	Бараяр	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
1157	970	Кошерът на Хелстрьом	Кошерът на Хелстрьом	Франк Хърбърт	Франк Хърбърт
1160	1663	Пътят на славата	Пътят на славата	Робърт Хайнлайн	Робърт Хайнлайн
1165	1084	Свят извън времето	Свят извън времето	Лари Нивън	Лари Нивън
1172	1096	Сфера	Сфера	Майкъл Крайтън	Майкъл Крайтън
1174	4749	Тайната на Артемис Фоул	Тайната на Артемис Фоул	Оуън Колфър	Оуън Колфър
1176	6441	Мери Попинз	Мери Попинз	Памела Травърз	Памела Травърз
1177	2021	Олимп	Олимп	Дан Симънс	Дан Симънс
1178	1758	Последният сребърник	Последният сребърник	Джеймс П. Блейлок	Джеймс П. Блейлок
1179	1222	Игрите на Вор	Игрите на Вор	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
1180	132	Звездна вълна се надига	Звездна вълна се надига	Дейвид Брин	Дейвид Брин
1181	1440	Илион	Илион	Дан Симънс	Дан Симънс
1186	6876	Селцето	Селцето	Кир Буличов	Кир Буличов
1187	1064	Параграф 22	Параграф 22	Джоузеф Хелър	Джоузеф Хелър
1193	1084	Свят извън времето	Свят извън времето	Лари Нивън	Лари Нивън
1196	7737	16 страховити истории	16 страховити истории	Робърт Шекли	Робърт Шекли
1199	6875	Заклинателят	Заклинателят	Уилям Питър Блати	Уилям Питър Блати
1205	7735	Слепоглед	Слепоглед	Питър Уотс	Питър Уотс
1206	7677	Шадоус Фол	Шадоус Фол	Саймън Грийн	Саймън Грийн
1209	7825	Космически хищници	Космически хищници	Алфред Ван Вогт	Алфред ван Вогт
1212	7819	Оръжейните майстори	Оръжейните майстори	Алфред Ван Вогт	Алфред ван Вогт
1222	5003	Конан наемника	Конан наемника	Джон Мадокс Робъртс	Джон Мадокс Робъртс
1225	5229	Съкровището на Питон	Съкровището на Питон	Джон Мадокс Робъртс	Джон Мадокс Робъртс
1237	5244	Избрани творби в пет тома	Избрани творби в пет тома	Стефан Цвайг	Стефан Цвайг
1237	6235	Избрани творби в пет тома	Избрани творби в пет тома	Стефан Цвайг	Стефан Цвайг
1239	7678	Момчешки живот	Момчешки живот	Робърт МакКамън	Робърт МакКамън
1240	7736	Морелси	Морелси	Чайна Миевил	Чайна Миевил
1242	1671	Сенки	Сенки	Джон Сол	Джон Сол
1243	1641	Шибуми	Шибуми	Треванян	Треванян
1244	3099	Тълкуване на убийството	Тълкуване на убийството	Джед Рубенфелд	Джед Рубенфелд
1245	2379	Да спасиш свидетел	Да спасиш свидетел	Дейвид Балдачи	Дейвид Балдачи
1246	2743	Абсолютна власт	Абсолютна власт	Дейвид Балдачи	Дейвид Балдачи
1248	2166	Документът на Матлок	Документът на Матлок	Робърт Лъдлъм	Робърт Лъдлъм
1253	6455	Американецът	Американецът	Ендрю Бритън	Ендрю Бритън
1261	7723	Ужас	Ужас	Дан Симънс	Дан Симънс
1265	7936	Господарката	Господарката	Клер Лоримър	Клер Лоримър
1266	7937	Дивото цвете	Дивото цвете	Клер Лоримър	Клер Лоримър
1267	7938	Морийн	Морийн	Клер Лоримър	Клер Лоримър
1268	7908	Изплъзващи се образи	Изплъзващи се образи	Елизабет Адлър	Елизабет Адлър
1271	3615	Байрон	Байрон	Андре Мороа	Андре Мороа
1273	7519	Хайка за вълци	Хайка за вълци	Ивайло Петров	Ивайло Петров
1274	196	Пари	Пари	Емил Зола	Емил Зола
1274	4675	Пари	Пари	Емил Зола	Емил Зола
1279	2286	Кралица Марго	Кралица Марго	Александър Дюма	Александър Дюма
